"SWEET POTATOES, PEELED, QUARTERED (20# CASE)",SPPQ,"Potatoes, Sweet JBO",No,Foodservice,4/5 NEW KRAFT,32
"TOMATOES, DICED (10# CASE)",DT,"Tomatoes, Roma",No,Foodservice,2/5 FRUIT TRAY,20
"TOMATOES, DICED (5# CASE)",DT5,"Tomatoes, Roma",No,Foodservice,1/5 FRUIT TRAY,20
"TOMATOES, DICED (20# CASE)",DT,"Tomatoes, Roma",No,Foodservice,2/5 FRUIT TRAY,20
"TOMATOES, SLICED (10# CASE)",ST,"Tomatoes, 5x6",No,Foodservice,2/5 FRUIT TRAY,20
"TOMATOES, GREEN DICED (10# CASE)",DT,"Tomatoes, Green ",No,Foodservice,2/5 FRUIT TRAY,18
"TURNIP GREENS, CHOPPED (6 X 2#)",TC,Turnip Green ,No,Foodservice,2/10 NEW KRAFT,18
"TURNIP, DICED, (10# CASE)",TURND,"Turnips, Cut 25#",No,Foodservice,4/5 NEW KRAFT,18
"TURNIP, DICED, (20# CASE)",TURND,"Turnips, Cut 25#",No,Foodservice,4/5 NEW KRAFT,18
"WATERMELON, CUT (5# CASE)",WAC,"Watermelon, (IND)",No,Foodservice,1/5 FRUIT TRAY,7
ZUCCHINI SLICED (20# CASE),ZUS,"Squash, Zuke 1/2",No,Foodservice,4/5 NEW KRAFT,17
"ZUCCHINI, DICED (2 X 5# TRAYS)",ZUD10,"Squash, Zuke 1/2",No,Foodservice,2/5 FRUIT TRAY,17
"ZUCCHINI, JULIENNE, (2 X 5# BAG)",ZUJ,"Squash, Zuke 1/2",No,Foodservice,2/5 TUB,17
"ZUCCHINI, SLICED (5# CASE)",ZUS5,"Squash, Zuke 1/2",No,Foodservice,1/5 TUB,17
"APPLE, GREEN WEDGES (100 X 2oz)",APPG100,"Apples, Granny",No,Snakpak,APPLE SNACK PACK 100CT,30
"APPLE, GREEN WEDGES (50 X 2oz)",APPGR,"Apples, Granny",No,Snakpak,APPLE SNACK PACK 50CT,30
"APPLE, RED WEDGES (100 X 2oz)",APP100,"Apples, Gala",No,Snakpak,APPLE SNACK PACK 100CT,30
"APPLE, RED WEDGES (50 X 2oz)",APP50,"Apples, Gala",No,Snakpak,APPLE SNACK PACK 50CT,30
ASPARAGUS STICKS (50 X 2oz),AS50,"Asparagus, 11# standard",No,Snakpak,SNAKPAK 50CT,8.5
BABY CARROTS (50/2oz) W/ LIGHT RANCH,CB50W,"Carrots, Baby 30/1#",Yes,Snakpak,SNAKPAK 50CT,30
BABY CARROTS  (100 X 2oz),CB100,"Carrots, Baby 30/1#",No,Snakpak,SNAKPAK 100CT,30
BABY CARROTS  (50 X 2oz),CB50,"Carrots, Baby 30/1#",No,Snakpak,SNAKPAK 50CT,30
"BEANS, VARIOUS (50 x 2oz)",BEAN50,"Beans, Various, #10 can",No,Snakpak,SNAKPAK 50CT,4.25
"BEETS, CANDYSTRIPE (50 X 2oz)",BE50,"Beets, Candystripe 25#",No,Snakpak,SNAKPAK 50CT,18
BLOOD ORANGE WEDGES (50 X 3.5oz),BO,"Oranges, Blood 88ct 40#",No,Snakpak,SNAKPAK 50CT,38
BLUEBERRIES  (50 X 2oz),BB,Blueberries 1 Pint,No,Snakpak,SNAKPAK 50CT,9
BROCCOLI FLORET  (50 X 2oz) ,BF,Broccoli Crowns,No,Snakpak,SNAKPAK 50CT,18
BROCCOLI FLORET  (50 X 4oz) ,BF,Broccoli Crowns,No,Snakpak,SNAKPAK 50CT,18
BROCCOLI FLORET  (50 X 2oz) W/  LIGHT RANCH,BFW,Broccoli Crowns,Yes,Snakpak,SNAKPAK 50CT,18
"CANTALOUPE, CUBED (50 X 2.7oz)",CAN50,Canteloupes,No,Snakpak,SNAKPAK 50CT,17
"CARROT, STICKS SNAKPAK (50X2oz)",CAR50,"Carrots,50#",No,Snakpak,SNAKPAK 50CT,32
